word_segment,times,co,fr_left,fr_right,score
小时候,5,1009.2459016393443,1.9219280948873625,2.3219280948873617,4503.839404883589
向尤氏,5,1009.2459016393443,2.3219280948873617,1.9219280948873625,4503.839404883589
见尤氏,5,1009.2459016393443,1.9219280948873625,2.3219280948873617,4503.839404883589
并尤氏,5,1009.2459016393443,1.9219280948873625,2.3219280948873617,4503.839404883589
紫鹃只,8,599.6493506493507,3.0,2.5,4497.370129870131
大奶奶,94,173.09465791940016,4.82716724140347,5.38232594431138,4497.239378283984
一二年,12,477.651724137931,2.7516291673878226,3.4182958340544896,4492.736002594844
东西呢,7,570.0370370370372,2.8073549220576046,2.8073549220576046,4492.5996431278045
句顽话,10,671.6072727272727,2.4464393446710155,2.7219280948873616,4472.25431024661
银子来,29,384.9962622196665,2.727827977513181,4.254195650150781,4467.771481902577
了而且,5,828.2152466367712,2.3219280948873617,2.3219280948873617,4465.198334412874
心暂且,5,828.2152466367712,2.3219280948873617,2.3219280948873617,4465.198334412874
叫人传,6,899.4740259740261,2.5849625007211556,1.9182958340544891,4460.242357295551
请安去,8,540.0350877192982,3.0,2.75,4455.28947368421
没好气,10,620.6048387096773,2.1609640474436813,3.3219280948873617,4455.053527682932
去麝月,7,952.020618556701,2.8073549220576046,1.6644977792004616,4448.63625073384
的丫鬟,22,265.10236836954397,4.186704345910024,4.004886164091841,4445.044130173348
来如今,24,276.48502994011983,3.7720552088742014,4.251629167387823,4434.09547482029
的淘气,5,992.967741935484,1.9219280948873625,2.3219280948873617,4431.19683383708
在书房,13,634.680412371134,3.180832987205441,2.192005835492107,4425.248544034915
今日这,11,467.5746835443038,3.459431618637298,2.7321588913645707,4419.3835178607205
总不见,6,759.0082191780823,2.2516291673878226,2.5849625007211556,4417.713953804454
难道还,11,473.5692307692308,3.2776134368191165,2.845350936622437,4416.487922334405
探春的,12,405.0263157894737,3.4182958340544887,3.188721875540867,4414.784696729375
那一种,9,439.27801268498945,3.169925001442312,3.169925001442312,4414.051951462874
儿麝月,6,952.020618556701,2.5849625007211556,1.7924812503605778,4411.1845043041385
王夫人,1061,110.77093338760004,6.263023431801453,6.358139825924653,4411.029134570977
有一番,12,429.51627906976745,2.8553885422075336,3.584962500721156,4396.726574621156
林姑娘,132,147.28229665071768,5.148667438178944,5.791119268165738,4391.449550784889
迎上去,7,945.061403508772,2.5216406363433186,1.8423709931771088,4390.563965888189
惜春也,5,814.3386243386243,2.3219280948873617,2.3219280948873617,4390.384605705781
银子拿,5,982.4042553191487,2.3219280948873617,1.9219280948873625,4384.056441987747
向窗外,5,982.4042553191487,2.3219280948873617,1.9219280948873625,4384.056441987747
银子与,5,982.4042553191487,1.9219280948873625,2.3219280948873617,4384.056441987747
婆子便,8,738.768,2.1556390622295662,2.75,4379.422186494334
尤氏也,8,530.7241379310344,3.0,2.75,4378.474137931034
在南边,8,577.1625,2.75,2.75,4364.79140625
件东西,27,406.81057268722464,2.3793702618887416,4.504706483564824,4360.34405971919
意思说,7,1049.3863636363637,2.128085278891395,1.950212064914747,4355.181740936725
下剩的,9,465.2191435768262,3.169925001442312,2.94770277922009,4347.0061594186245
主意不,11,592.3067055393586,2.368522527728207,3.0957952550009344,4343.06570154597
独不见,5,973.0874604847207,2.3219280948873617,1.9219280948873625,4342.479510504198
把自己,10,488.6031746031746,3.1219280948873616,2.8464393446710154,4341.912970837523
道只怕,8,574.0233100233099,2.75,2.75,4341.051282051281
在炕上,35,269.10703134757085,3.4645783739023828,4.65057194545458,4335.925413982575
自己便,21,259.0350631136045,4.011365041826378,4.165894208390023,4328.714837400411
生得好,5,801.6145833333335,2.3219280948873617,2.3219280948873617,4321.784846241629
去探春,9,605.5475409836066,2.4193819456463714,2.94770277922009,4318.534279151011
他如今,22,276.48502994011983,3.845350936622435,4.061482186720775,4318.094627695811
何尝不,13,1368.088888888889,1.854285871987246,1.7004397181410922,4313.72291633968
画着一,10,925.7744360902257,1.8464393446710157,2.521928094887362,4310.949443649424
叫彩云,5,799.5324675324675,2.3219280948873617,2.3219280948873617,4310.559431056585
薛宝琴,5,799.5324675324675,2.3219280948873617,2.3219280948873617,4310.559431056585
日薛蟠,6,739.7543391188251,2.2516291673878226,2.5849625007211556,4305.649113854808
紫鹃在,10,599.6493506493507,2.8464393446710154,2.5219280948873624,4304.592070483756
自然不,28,259.0350631136045,3.8787834934861762,4.280394654123193,4300.687692877369
果然这,8,1790.9527272727273,1.5487949406953985,1.5487949406953985,4296.076094867723
道奴才,19,377.6932515337424,2.9205969371870797,3.892407118592879,4293.674409459451
便转身,5,961.9375,2.3219280948873617,1.9219280948873625,4292.72193277967
生气说,5,961.9375,2.3219280948873617,1.9219280948873625,4292.72193277967
你果然,10,511.61218836565104,2.5219280948873624,3.3219280948873617,4286.114905859267
去紫鹃,6,735.8247011952193,2.5849625007211556,2.2516291673878226,4282.777139810428
带了小,6,923.46,2.5849625007211556,1.7924812503605778,4278.848969175015
紫鹃说,9,599.6493506493507,2.94770277922009,2.4193819456463714,4276.470633574865
里间屋,14,957.6622222222223,2.835237745312118,1.5744174271404583,4274.858323659022
如今他,28,234.0836501901141,4.307354922057604,4.2359263506290326,4271.005593615688
大妹妹,18,305.27603305785124,3.3502090290998976,4.169925001442313,4264.74293415288
张爷爷,5,790.6335616438356,2.3219280948873617,2.3219280948873617,4262.582314101332
奶奶不,33,238.6201550387597,4.245469029158445,4.206470348012902,4261.383622418537
呢麝月,5,952.020618556701,2.3219280948873617,1.9219280948873625,4248.467067493282
上麝月,5,952.020618556701,1.9219280948873625,2.3219280948873617,4248.467067493282
原来他,8,471.75478927203073,3.0,3.0,4245.793103448276
虽不能,13,376.0958646616542,3.1808329872054415,3.546593564294939,4242.783258296052
女儿之,6,727.1338582677165,2.251629167387823,2.5849625007211556,4232.193157844162
一直到,8,704.9312977099237,3.0,2.0,4229.587786259543
事也难,6,726.6570491803277,2.251629167387823,2.5849625007211556,4229.4179492160665
这如今,19,276.48502994011983,4.0374011976541135,3.787143960698141,4227.516813559569
过了门,9,452.4300489929232,2.94770277922009,3.169925001442312,4227.504901361662
的使用,6,632.5068493150685,2.5849625007211556,2.5849625007211556,4226.430457146624
有一位,16,375.5333587495235,3.0,3.75,4224.750285932139
连饭也,6,977.2063492063492,2.2516291673878226,1.9182958340544891,4220.838444287245
明日就,10,406.3630363036304,3.3219280948873617,3.1219280948873624,4214.3181677354405
我天天,6,630.3481228668942,2.5849625007211556,2.5849625007211556,4212.005779818478
个小厮,31,321.8896947208636,2.718616668167312,4.800812842575152,4201.165823242069
